"","Species","data.type","A.A","B.B","C.sd","D.NA","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.sd","sterror.NA","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"37","Magnolia grandiflora","Pan et al. 2017",71.7607394324626,-30.8562097763029,27.3430382277136,NA,-170.186417849853,0.441634167300125,1.00000001089476,346.372835699706,347.122835699706,9.08371890760016,5.78246065413291,3.22239857768391,NA,36,71.7607394324626,0.465129968668892,1.16282492167223,1.86051987467557
"38","Malosma Laurina","Pan et al. 2017",273.190788371684,-136.698294950809,83.4927374956054,NA,-216.216833468017,0.493876758573902,0.999999997452679,438.433666936035,439.160939663308,23.6255741041482,22.7493531996391,9.70572061692647,NA,37,273.190788371684,0.399698896712636,0.999247241781589,1.59879558685054
"39","Millettia ferruginea","Gindaba et al. 2004",52.5837361761497,-10.6901504038391,10.5407819942034,NA,-41.5160928640873,0.260719373206654,0.999999999181911,89.0321857281745,92.4607571567459,6.88426325510826,5.42736553233283,2.24727263803329,NA,11,52.5837361761497,0.983779164739638,2.4594479118491,3.93511665895855
"40","Platanus racemosa","Pan et al. 2017",110.707869479653,-42.988462244565,47.5495366055675,NA,-248.193397130257,0.269591171762175,1.00000001055307,502.386794260513,502.944933795397,13.4684621657591,10.3209764396826,4.90433921443458,NA,47,110.707869479653,0.515058523609552,1.28764630902388,2.06023409443821
"41","Quercus agrifolia","Pan et al. 2017",86.3605991523568,-13.0169072236386,51.849263941072,NA,-289.833080966664,0.11910432690327,0.999999987804182,585.666161933328,586.146161933328,11.545650940183,4.81662873813627,4.98918322917997,NA,54,86.3605991523568,1.32689889646792,3.31724724116981,5.3075955858717
"42","Quercus oleoides","Brodribb et al. 2003",653.027689508153,-161.864830564124,97.0182792921896,NA,-323.667249547193,0.531473973299613,0.999999993984229,653.334499094387,653.814499094387,53.5070017529678,20.6810128710913,9.33549411475435,NA,54,653.027689508153,0.806880268224112,2.01720067056028,3.22752107289645
"43","Raphiolepis indica","Guyot et al. 2012",171.810376829586,-42.1322920059432,33.5075924579935,NA,-202.159134084597,0.614914532802953,1.00000000128397,410.318268169195,410.966916817844,10.1025819986414,5.20703996018322,3.7002779700775,NA,41,171.810376829586,0.815575743210694,2.03893935802674,3.26230297284278
"44","Rhaphiolepis indica","Pan et al. 2017",218.653956817552,-53.044644115257,52.3875926137902,NA,-252.747591055641,0.625315046022191,1.00000000211423,511.495182111281,512.053321646165,13.1329893111036,5.98923504952318,5.40334445185927,NA,47,218.653956817552,0.824414831938372,2.06103707984593,3.29765932775349
"45","Rhedera trinervis","Brodribb et al. 2003",1001.11741491435,-636.283115449126,82.349996955454,NA,-180.727425555876,0.801236070388204,1.00000000257519,367.454851111752,368.343740000641,68.9374809261254,56.9186276838721,10.4583860737516,NA,31,1001.11741491435,0.314676718777206,0.786691796943015,1.25870687510882
"46","Salvia canariensis","Pan et al. 2017",494.445057112127,-297.861187792424,77.5030478863694,NA,-121.154371632677,0.610624972555442,0.999999999312373,248.308743265353,249.720507971236,61.585481570596,51.9041564393596,11.9588347695156,NA,21,494.445057112127,0.331996968639432,0.829992421598581,1.32798787455773
"47","Simarouba glauca","Brodribb et al. 2003",662.45415147855,-241.314540250343,100,NA,-420.326404340599,0.482812170174167,1.00000001002118,846.652808681197,847.073861312776,32.8927878289812,19.3434674158163,4.77201451324082,NA,61,662.45415147855,0.549037907779042,1.37259476944761,2.19615163111617
"48","Sweitenia macrophylla","Brodribb et al. 2003",421.492687002514,-136.715441139065,53.1386931332095,NA,-296.551414102372,0.76041545221238,1.00000000397514,599.102828204744,599.573416440038,21.4429425029587,10.3476319101984,5.06656679951667,NA,55,421.492687002514,0.616598510732634,1.54149627683159,2.46639404293054
"49","Vaccinium myrtillus","Ganthaler & Mayr 2015",112.243046109433,-34.0669343829177,23.9188925973802,NA,-41.3424644995145,0.654816539499762,1.0000000026362,88.6849289990289,93.4849289990289,14.4103682326912,8.24470276003733,5.63775098721263,NA,9,112.243046109433,0.658955953287747,1.64738988321937,2.63582381315099
"50","Vaccinium vitis-idaea","Ganthaler & Mayr 2015",138.807589053668,-28.1177519497352,54.1573706295269,NA,-48.6974934932561,0.225505151035628,1.00000000287326,103.394986986512,108.194986986512,28.9799904752621,17.3690147471847,12.764908808434,NA,9,138.807589053668,0.987330632276772,2.46832658069193,3.94932252910709
"51","Vitis vinifera (M)","Tombesi et al. 2014",344.037588500707,-194.312794212385,69.1513955461234,NA,-197.933287261964,0.674207021956116,0.999999998316267,401.866574523927,402.640768072314,28.6749779488262,22.8315738148484,8.2650875633236,NA,35,344.037588500707,0.354106984972561,0.885267462431404,1.41642793989025
"52","Vitis vinifera (S)","Tombesi et al. 2014",234.870403772996,-134.364120769421,36.030269678849,NA,-155.102236174221,0.765467969456785,1.00000000022922,316.204472348442,317.093361237331,15.0291876704902,13.3578407583605,4.57578783765874,NA,31,234.870403772996,0.349602858900184,0.874007147250459,1.39841143560073
