"","Species","data.type","A.A","B.B","C.Xo","D.sd","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.Xo","sterror.sd","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"35","Hymenaea courbaril","Brodribb et al. 2003",360.648989828593,13.8631667301198,2.49420231985604,41.030140522347,-195.063327591822,0.910841325881465,1.00000000133444,398.126655183644,399.338776395765,"13.5646638000138","1.84534268162722","0.028307791187891","4.70645821949118",38,360.648989828593,2.25685121941455,2.49420231985604,2.75651543126049
"36","Lantana camara","Pan et al. 2017",223.908233153349,7.68394116206641,1.0175890374661,100,-273.025831075293,0.297889279081723,1.00000000115482,554.051662150585,555.051662150585,"37.6300878859004","6.76404178432443","0.0751272643126603","9.9186840907369",45,223.908233153349,0.849609578896397,1.0175890374661,1.21878033733593
"37","Magnolia grandiflora","Pan et al. 2017",118.546148918734,25.6322403639197,0.513746974043794,17.5953870069596,-154.316710718137,0.768781311646273,1.00000000143594,316.633421436275,317.92374401692,"8.55006535149843","13.0295165602881","0.0123720542454746","2.07361905264031",36,118.546148918734,0.486699488163733,0.513746974043794,0.542297577371527
"38","Malosma Laurina","Pan et al. 2017",340.979590536379,1.77002436584391,0.579378788852215,75.0882893500152,-212.291316189186,0.590642000911898,0.999999996605781,432.582632378372,433.832632378372,"71.2406072801936","0.633483660263108","0.183069370700094","8.72873473830274",37,340.979590536379,0.264740500893391,0.579378788852215,1.26795779202305
"39","Millettia ferruginea","Gindaba et al. 2004",114.12103746,0.570130626927798,0.335327607212459,9.5010103512655,-40.3737033764961,0.399375223350895,1.00094195932789,88.7474067529921,95.4140734196588,"135.521845163869","0.430015058561202","1.33505575338938","2.03543901098968",11,114.12103746,0.0294758077687951,0.335327607212459,3.81480992958144
"40","Platanus racemosa","Pan et al. 2017",184.368328046484,1.18495880129442,0.464050997624295,42.5836071469083,-243.009170936162,0.414187925538107,0.999999994065719,494.018341872324,494.970722824705,"53.6534397735289","0.537523480734173","0.301709678892294","4.39212679022881",47,184.368328046484,0.144039147697018,0.464050997624295,1.49503334224853
"41","Quercus agrifolia","Pan et al. 2017",540.56,0.734165658181628,0.0665735297033728,47.3905549584591,-284.977520008689,0.264093105156453,1.00312127658062,577.955040017379,578.771366547991,"594.828563049793","0.223375949339311","0.146556088005848","4.57226939672882",54,540.56,0.0100749162624506,0.0665735297033728,0.439907860443877
"42","Quercus oleoides","Brodribb et al. 2003",407.958651686567,9.42694759514223,2.70395391015543,86.3336424285007,-317.36652580215,0.628989073117936,0.999999999934601,642.733051604299,643.549378134911,"25.6541964317726","2.13085793036714","0.0637588660033955","8.30737481738979",54,407.958651686567,2.33417513175602,2.70395391015543,3.13231284524244
"43","Raphiolepis indica","Guyot et al. 2012",146.803182889393,3.22446416551027,2.19977699725237,32.4623869937751,-200.859845608538,0.638563858716627,1.00000000414862,409.719691217076,410.830802328187,"10.7614296332941","0.786139071128385","0.216141861487923","3.58483791083609",41,146.803182889393,1.43107490071136,2.19977699725237,3.38138753969848
"44","Rhaphiolepis indica","Pan et al. 2017",191.129232848393,5.10340237600497,2.30110533039525,49.6606957852293,-250.235158924565,0.663306323705679,1.00000000043714,508.47031784913,509.422698801511,"11.1205086813256","1.75614306016192","0.150600827502336","5.12208772627054",47,191.129232848393,1.7537360234257,2.30110533039525,3.01931742910208
"45","Rhedera trinervis","Brodribb et al. 2003",506.902948685688,13.0242259543777,1.12763955305812,59.0023606619722,-170.391995751545,0.897964997690489,0.999999998427212,348.78399150309,350.322453041552,"31.1799119217324","3.52564913434505","0.0182742203866425","7.49320744538242",31,506.902948685688,1.01378097730311,1.12763955305812,1.25428567914521
"46","Salvia canariensis","Pan et al. 2017",280.627178461393,10.112114931613,1.18823567974741,71.3541596056086,-119.418477653647,0.669958064411657,1.00000000199989,246.836955307294,249.336955307294,"28.9536948422053","4.8047446023655","0.0580782928147786","11.0101030159735",21,280.627178461393,1.03601037634874,1.18823567974741,1.36282807861522
"47","Simarouba glauca","Brodribb et al. 2003",626.130464137307,5.94628609760139,1.34420291486174,100,-385.874642133646,0.696570996966113,1.0000000009164,779.749284267292,780.463569981578,"65.8330783486197","1.54790786430192","0.074114067908843","6.55932997999167",61,626.130464137307,1.06467015750986,1.34420291486174,1.69712794481708
"48","Sweitenia macrophylla","Brodribb et al. 2003",258.220591314607,31.4178407401002,1.93852362328669,33.290655931349,-270.831841216328,0.905966681029202,1.00000000380075,549.663682432657,550.463682432657,"7.34722076096211","8.98354927302436","0.0155363621578595","3.17411164627338",55,258.220591314607,1.8548470372292,1.93852362328669,2.02597506026919
"49","Vaccinium myrtillus","Ganthaler & Mayr 2015",100.331680263969,3.83293691424983,1.61554294342473,22.0734201356982,-40.6198144325888,0.706027230736395,0.999999998278175,89.2396288651776,99.2396288651776,"12.2182492116962","2.02911931732675","0.287748268371442","5.20271187609539",9,100.331680263969,1.1252347473611,1.61554294342473,2.31949733881784
"50","Vaccinium vitis-idaea","Ganthaler & Mayr 2015",263.779028496804,0.659599621348579,0.425019155299856,49.6822842275387,-47.9212824130086,0.34821180302854,1.00000000918819,103.842564826017,113.842564826017,"444.152163084687","1.04076943256986","2.33363200586573","11.7101297415699",9,263.779028496804,0.0519568341542382,0.425019155299856,3.47675691393272
"51","Vitis vinifera (M)","Tombesi et al. 2014",280.635654678231,7.62479039311692,0.932472408221001,56.6785756402638,-190.971718975815,0.781134312867745,0.999999997716197,389.943437951631,391.276771284964,"31.6987988373938","3.25655205395906","0.0438114041932806","6.77431578857454",35,280.635654678231,0.777454769072981,0.932472408221001,1.1183992004194
"52","Vitis vinifera (S)","Tombesi et al. 2014",185.843618673987,5.10363393373758,1.01643819736308,32.5617262366764,-151.96435863164,0.808450079341902,1.00000000098469,311.92871726328,313.467178801742,"16.7734282795691","1.44083305787906","0.0741422020659894","4.13531409753984",31,185.843618673987,0.774665213457747,1.01643819736308,1.33366852042733
