species,data type,psi,gs
Malosma laurina,1,0.57,113.3939167
Malosma laurina,1,0.614,103.3939167
Malosma laurina,1,0.771,92.39391668
Malosma laurina,1,0.86,79.39391668
Malosma laurina,1,0.97,139.3939167
Malosma laurina,1,1.065,41.39391668
Malosma laurina,1,1.157,51.39391668
Malosma laurina,1,1.225,1.293916681
Malosma laurina,1,1.273,16.39391668
Malosma laurina,1,1.278,23.19391668
Malosma laurina,1,1.438,21.99391668
Malosma laurina,1,1.532,28.89391668
Malosma laurina,1,1.628,19.59391668
Malosma laurina,1,1.666,10.39391668
Malosma laurina,1,1.785,6.193916681
Malosma laurina,1,2.34,71.39391668
Malosma laurina,1,2.619,-6.606083319
Platanus racemosa,1,0.065,17.06474411
Platanus racemosa,1,0.094,70.56474411
Platanus racemosa,1,0.118,68.56474411
Platanus racemosa,1,0.177,10.26474411
Platanus racemosa,1,0.192,48.56474411
Platanus racemosa,1,0.209,-1.835255885
Platanus racemosa,1,0.24,4.864744115
Platanus racemosa,1,0.248,31.56474411
Platanus racemosa,1,0.342,174.5647441
Platanus racemosa,1,0.353,0.814744115
Platanus racemosa,1,0.444,235.5647441
Platanus racemosa,1,0.78,134.5647441
Platanus racemosa,1,0.85,135.5647441
Platanus racemosa,1,0.87,97.56474411
Platanus racemosa,1,0.98,125.5647441
Platanus racemosa,1,1.1,155.5647441
Platanus racemosa,1,1.21,71.56474411
Platanus racemosa,1,1.28,174.5647441
Platanus racemosa,1,1.43,4.664744115
Platanus racemosa,1,1.48,95.56474411
Platanus racemosa,1,1.49,52.56474411
Platanus racemosa,1,1.53,139.5647441
Platanus racemosa,1,1.6,9.864744115
Platanus racemosa,1,1.62,36.56474411
Platanus racemosa,1,1.7,47.56474411
Platanus racemosa,1,1.9,25.56474411
Platanus racemosa,1,1.98,38.56474411
Platanus racemosa,1,2.27,49.56474411
Prunus ilicifolia,1,0.128,57.41454514
Prunus ilicifolia,1,0.216,32.91454514
Prunus ilicifolia,1,0.227,9.114545138
Prunus ilicifolia,1,0.301,43.81454514
Prunus ilicifolia,1,0.302,54.41454514
Prunus ilicifolia,1,0.308,82.41454514
Prunus ilicifolia,1,0.337,53.41454514
Prunus ilicifolia,1,0.339,71.41454514
Prunus ilicifolia,1,0.375,8.314545138
Prunus ilicifolia,1,0.3885,33.41454514
Prunus ilicifolia,1,0.389,7.814545138
Prunus ilicifolia,1,0.432,62.41454514
Prunus ilicifolia,1,0.5365,28.41454514
Prunus ilicifolia,1,0.593,151.4145451
Prunus ilicifolia,1,0.629,20.41454514
Prunus ilicifolia,1,0.686,11.61454514
Prunus ilicifolia,1,0.695,63.41454514
