species,s,f,g
Billardiera_cymosa,980,15.19,1.398605957
Billardiera_drummondii,630,13.923,1.824335157
Billardiera_floribunda,925,16.3725,1.832047829
Billardiera_heterophylla,1125.75,16.223175,1.383337466
Billardiera_longiflora,1248,15.7248,1.250684206
Billardiera_mollis,1540,10.01,0.739449649
Billardiera_procumbens,1320,17.688,1.642469449
Billardiera_scandens,800,14.88,1.552835426
Billardiera_variifolia,567.7,18.99184,2.115387623
Bischofia_javanica,558.08,7.589888,0.869309873
Bischofia_polycarpa,280.845,8.87189355,2.380643027
Blakea_monticola,113,4.5482,1.935210692
Blastus_cochinchinensis,622.3392,24.893568,2.583770255
Blastus_pauciflorus,224.72,5.0179976,1.505292475
Blastus_tsaii,172.98,3.1465062,1.075825787
Blepharocalyx_eggersii,200.25,8.0523,2.688181266
Blysmus_sinocompressus,655.22,10.876652,1.910790024
Boehmeria_glomerulifera,142.805,1.8221918,0.685699268
Boehmeria_macrophylla,280.845,5.3753733,1.442402898
Borago_officinalis,184.32,0.82944,0.274732507
Borago_pygmaea,325.125,0.975375,0.243252741
Boronia_crenulata,825,25.6575,2.240472035
Bouvardia_ternifolia,1261.52645,7.31685341,0.926376391
Bowringia_callicarpa,228.98,4.0918726,1.216002961
Brabejum_stellatifolium,383.645,10.7036955,2.457425039
Brachionidium_parvum,760.5,2.851875,0.465042004
Brachybotrys_paridiformis,224.72,2.7236064,0.81702395
Brachybotrys_paridiformis ,223.66125,2.711668995,0.815366016
Brachysema_sericeum,298.025,3.9637325,0.461523671
Brachysiphon_acutus,1620,20.898,1.496572825
Brachysiphon_fucatus,1295.1,13.11749,1.031693538
Brachysiphon_mundii,859.18,5.498752,0.525145905
Brachysiphon_rupestris,1056,10.4412,0.818078468
Brasenia_scherberi,642.6,16.57908,0.319028812
Brassica,257.645,7.128178333,1.997004307
Brassica_nigra,292.82,12.88408,3.385823767
Brassica_oleracea,316.75,7.25120625,1.869111132
Brassica_rapa,220.5,7.29855,2.210261176
Brewcaria_hohenbergioides,768,21.888,2.427771469
Brexia_madagascariensis,754,13.4212,1.254408331
Breynia_cernua,425,3.91,0.641514054
Breynia_fruticosa,168.3625,3.07882255,1.066817486
Breynia_vitis-idaea,308,9.4248,1.608213939
Bridelia_montana,144.5,7.1672,2.681185763
Bridelia_retusa,141.9725,5.376793025,2.023072628
Brosimum,162,6.3504,2.243648807
Brownea_coccinea,162,8.91,3.147976643
Bruguiera_gymnorhiza,441.4172781,8.389487222,1.50027923
Brunellia_comocladifolia,112.5,6.6375,2.814100332
Brunfelsia_jamaicensis,216.32,1.319552,0.403449774
Brunnera_macrophylla,188.18,0.545722,0.178894107
Brunnera_orientalis,400.445,0.480534,0.107985138
Bryophyllum_fedtschenkoi,186.43805,0.434400657,0.143065363
Buchanania_cochinchinensis,128,12.5056,4.970623321
Buchenavia_tetraphylla,392,10.388,2.359392595
Buckinghamia_celsissima,271.445,8.469084,2.311568788
Buddleja_davidii,525.7071138,17.49413736,3.503393636
Buddleja_saligna,53.35445,3.091890378,1.903487672
Buglossoides_arvensis,361.805,6.795059705,1.60645032
Buphthalmum_salicifolium,841.5,5.57205,0.552288351
Bupleurum_chinense,99.2025,1.91149425,0.834738473
Bupleurum_euphorbioides,141.12,2.65601952,1.005421767
Bupleurum_falcatum,184.32,2.33478144,0.773341481
Bupleurum_gerardii,155.9378,2.581706217,0.929699128
Bupleurum_longiradiatum,202.13,3.661031,1.154830462
Bursaria_incana,896,26.0736,2.292264374
Bursaria_spinosa,504,20.16,2.363159149
Bursaria_tenuifolia,625,11.5625,1.058791961
