species,s,i,e,g
Paphiopedilum_emersonii,3041.1127,0.1245,3742.656334,0.450701563
Paphiopedilum_glanduliferum,1094.1842,0.21423765,4846,0.788374183
Paphiopedilum_gratrixianum,2783.4717,0.2053,3181.523813,0.860101674
Paphiopedilum_henryanum,2848.4352,0.1897,3569.683664,0.751212228
Paphiopedilum_hirsutissimum,2454.0894,0.1365,3746.972986,0.523899523
Paphiopedilum_insigne,2612.5064,0.1532,4723.115572,0.502452785
Paphiopedilum_malipoense,4680.4282,0.1167,6970.268602,0.316023194
Paphiopedilum_micranthum,2629.3148,0.1148,4362.969927,0.391862271
Paphiopedilum_philippinense,1106.85125,0.233466346,4077,1.032297856
Paphiopedilum_purpuratum,4109.5648,0.1091,6687.60605,0.290123877
Paphiopedilum_tigrinum,2858.8744,0.1626,4626.962742,0.544351216
Paphiopedilum_villosum,2882.115,0.1892,4107.257916,0.697330616
Paphiopedilum_wardii,3848.4732,0.1302,6488.085225,0.398247813
Parthenocissus_quinquefolia,623.25,0.087,703.4767409,1.150537766
Pedicularis_alaschanica,353.78,0.088,2158.845789,0.372160794
Pedicularis_integrifolia,474.32,0.355,2081.015035,2.301520701
Peltophorum_pterocarpum,390.6732,0.184,260.1544306,3.905630422
Peperomia_glabella,623.045,0.038286307,1397,0.3142889
Peperomia_magnoliifolia,628.7058,0.030915805,1659,0.21423412
Persicaria_vivipara,340.605,0.174,1915.549835,0.879716382
Petrea_volubilis,162.2964,0.2162,1007.719403,2.053031496
Phaseolus_vulgaris,325.0837,0.258,3039.15161,1.655100793
Phoenix_pusilla,321.85,0.0484,231.0298344,1.697831181
Phoenix_reclinata,450.1016667,0.0574,232.9410915,4.78257315
Phoenix_roebelenii,569.7864,0.094210878,416,8.461793151
Phyla_nodiflora,293.6792,0.1666,619.3007883,3.593524093
Phyllanthus_acidus,256.21,0.1121,766.90644,0.870462124
Phyllanthus_amarus,219.56,0.21735,1372.421579,1.173855585
