species,s,alpha,g
Brunfelsia_jamaicensis,216.32,16177.12262,0.403449774
Brunnera_macrophylla,188.18,34294.57862,0.178894107
Brunnera_orientalis,400.445,82932.88833,0.107985138
Bryophyllum_fedtschenkoi,186.43805,42732.01689,0.143065363
Buchanania_cochinchinensis,128,895.5414534,4.970623321
Buchenavia_tetraphylla,392,3381.584906,2.359392595
Buckinghamia_celsissima,271.445,2933.683205,2.311568788
Buddleja_davidii,525.7071138,3995.530339,3.503393636
Buddleja_saligna,53.35445,1672.271089,1.903487672
Buglossoides_arvensis,361.805,4962.72511,1.60645032
